1.50000,13.30800,3.54200,1
2.86670,13.30800,3.54200,1
5.60000,13.30800,3.85400,1
8.33330,13.30800,4.16700,2
11.75000,13.30800,4.55700,3
15.85000,11.48000,4.65200,4
19.95000,10.16200,4.45800,4
24.05000,9.01100,4.24900,5
28.15000,7.79500,4.00700,6
32.25000,6.54400,3.74800,6
36.35000,5.36100,3.50200,7
40.45000,4.18800,3.25600,7
44.55000,3.12500,3.01000,8
48.65000,2.31900,2.76400,8
52.75000,1.52600,2.51800,8
56.16670,0.86300,2.31300,8
58.90000,0.37000,2.08600,8
61.63330,0.10600,1.41900,8
63.00000,0.00000,1.08550,8

